departamento,ciudad,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
Huila,Acevedo,0,0,0,0,0,1,0,5,5,15,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35
Norte de Santander,Villa del Rosario,1,0,0,0,0,0,4,8,7,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,35
Antioquia,Mutatá,0,1,4,3,3,3,6,2,1,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,35
Caldas,Pensilvania,0,0,0,0,0,1,3,3,6,5,10,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
Meta,Villavicencio,1,0,0,1,2,0,1,5,11,3,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
Norte de Santander,Sardinata,0,0,0,0,1,1,6,6,5,2,4,2,0,0,0,0,0,2,0,0,0,0,1,1,0,1,2,0,0,0,0,34
Cauca,Buenos Aires,0,0,0,0,0,1,8,4,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,5,2,3,34
Guaviare,Calamar,0,2,0,0,0,0,0,1,11,4,9,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,34
Antioquia,Anorí,0,0,0,1,0,0,7,2,2,0,3,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,7,34
Norte de Santander,Norte de Santander department,0,1,5,3,2,1,3,0,2,2,1,5,2,0,2,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,34
Caldas,Aguadas,0,0,0,0,0,0,1,5,11,6,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
Antioquia,El Santuario,0,0,1,0,0,0,11,12,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Putumayo,Orito,1,0,0,0,0,1,5,4,1,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,33
Cauca,Popayán,0,1,0,0,1,0,2,3,7,1,2,1,3,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,32
Bolívar,Magangué,0,0,0,0,0,0,0,2,1,4,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,32
Huila,Gigante,0,0,0,0,0,1,3,3,2,4,6,7,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,31
Caquetá,El Paujil,0,0,1,0,0,1,2,3,8,7,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31
Caquetá,Cartagena del Chairá,1,0,0,2,0,1,2,0,2,4,8,2,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,31
Antioquia,Tarazá,0,0,0,0,0,0,0,3,2,1,0,0,1,0,7,1,2,0,0,0,2,0,1,1,3,2,0,2,0,1,2,31
Antioquia,Carmen de Viboral,0,0,0,0,0,2,3,13,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,31
Casanare,Aguazul,1,1,1,1,0,1,2,0,4,2,5,1,0,7,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,30
Antioquia,Valdivia,0,0,2,1,0,1,0,2,3,1,4,6,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,2,2,30
Nariño,Barbacoas,0,0,0,1,0,0,1,8,6,1,5,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,30
Meta,Mesetas,0,0,1,1,1,0,0,1,4,7,5,4,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,30
Risaralda,Mistrató,0,0,0,0,0,0,3,1,6,8,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Antioquia,Peñol,0,0,0,0,0,0,3,15,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29
Antioquia,Puerto Berrío,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,17,8,0,0,0,0,0,0,29
