departamento,municipio,mine_count,mine_incidents,demining_count,matched
CORDOBA,MONTELÍBANO,72,10,62,True
CORDOBA,MONTERÍA,2,2,0,True
CORDOBA,PLANETA RICA,0,0,0,True
CORDOBA,PUERTO LIBERTADOR,302,92,210,True
CORDOBA,SAHAGÚN,1,0,1,True
CORDOBA,SAN JOSE DE URE,12,0,12,False
CORDOBA,TIERRALTA,270,99,171,True
CORDOBA,VALENCIA,3,0,3,True
CUNDINAMARCA,AGUA DE DIOS,0,0,0,True
CUNDINAMARCA,ALBÁN,7,5,2,True
CUNDINAMARCA,ANOLAIMA,0,0,0,True
CUNDINAMARCA,ARBELÁEZ,2,0,2,True
CUNDINAMARCA,BELTRÁN,1,1,0,True
CUNDINAMARCA,BITUIMA,3,0,3,True
CUNDINAMARCA,BOJACÁ,0,0,0,True
CUNDINAMARCA,CABRERA,49,3,46,True
CUNDINAMARCA,CAPARRAPÍ,2,1,1,True
CUNDINAMARCA,CARMEN DE CARUPA,0,0,0,True
CUNDINAMARCA,CHAGUANÍ,11,4,7,True
CUNDINAMARCA,CHIPAQUE,2,1,1,True
CUNDINAMARCA,CHOCONTÁ,3,1,2,True
CUNDINAMARCA,CÁQUEZA,1,0,1,True
CUNDINAMARCA,EL PEÑÓN,11,3,8,True
CUNDINAMARCA,FACATATIVÁ,0,0,0,True
CUNDINAMARCA,FOSCA,2,0,2,True
CUNDINAMARCA,FUSAGASUGÁ,3,0,3,True
CUNDINAMARCA,FÓMEQUE,8,2,6,True
CUNDINAMARCA,GACHALÁ,2,0,2,True
CUNDINAMARCA,GACHETÁ,9,2,7,True
CUNDINAMARCA,GAMA,5,1,4,True
CUNDINAMARCA,GUACHETÁ,0,0,0,True
CUNDINAMARCA,GUADUAS,12,7,5,True
CUNDINAMARCA,GUASCA,1,0,1,True
CUNDINAMARCA,GUATAQUÍ,2,0,2,True
CUNDINAMARCA,GUATAVITA,2,1,1,True
CUNDINAMARCA,GUAYABAL DE SÍQUIMA,6,3,3,True
CUNDINAMARCA,GUAYABETAL,18,2,16,True
CUNDINAMARCA,GUTIÉRREZ,28,2,26,True
CUNDINAMARCA,JERUSALÉN,4,0,4,True
CUNDINAMARCA,JUNÍN,9,0,9,True
CUNDINAMARCA,LA PALMA,42,13,29,True
CUNDINAMARCA,LA PEÑA,3,2,1,True
CUNDINAMARCA,LA VEGA,1,0,1,True
CUNDINAMARCA,MACHETÁ,4,1,3,True
CUNDINAMARCA,MEDINA,10,0,10,True
CUNDINAMARCA,NARIÑO,2,0,2,True
CUNDINAMARCA,NILO,2,1,1,True
CUNDINAMARCA,PACHO,1,0,1,True
CUNDINAMARCA,PAIME,2,0,2,True
CUNDINAMARCA,PANDI,2,1,1,True
CUNDINAMARCA,PARATEBUENO,1,0,1,True
CUNDINAMARCA,PASCA,7,4,3,True
CUNDINAMARCA,PULÍ,18,2,16,True
CUNDINAMARCA,QUEBRADANEGRA,2,1,1,True
CUNDINAMARCA,QUETAME,4,1,3,True
CUNDINAMARCA,QUIPILE,4,0,4,True
CUNDINAMARCA,SAN BERNARDO,10,3,7,True
CUNDINAMARCA,SAN CAYETANO,0,0,0,True
CUNDINAMARCA,SAN JUAN DE RIOSECO,11,1,10,True
CUNDINAMARCA,SASAIMA,2,1,1,True
CUNDINAMARCA,SESQUILÉ,1,1,0,True
CUNDINAMARCA,SIBATÉ,3,0,3,True
CUNDINAMARCA,SILVANIA,13,0,13,True
CUNDINAMARCA,TIBACUY,1,0,1,True
CUNDINAMARCA,TOPAIPÍ,21,5,16,True
CUNDINAMARCA,UBALÁ,2,0,2,True
CUNDINAMARCA,UNE,6,1,5,True
CUNDINAMARCA,VENECIA,16,0,16,True
CUNDINAMARCA,VERGARA,3,1,2,True
CUNDINAMARCA,VIANÍ,5,2,3,True
CUNDINAMARCA,VILLAGÓMEZ,1,1,0,True
CUNDINAMARCA,VILLAPINZÓN,1,1,0,True
CUNDINAMARCA,VILLETA,4,0,4,True
CUNDINAMARCA,VIOTÁ,2,0,2,True
CUNDINAMARCA,YACOPÍ,1,0,1,True
CUNDINAMARCA,ÚTICA,7,2,5,True
GUAINIA,BARRANCOMINAS,12,1,11,True
GUAINIA,INIRIDA,2,1,1,True
GUAINIA,MORICHAL NUEVO,1,0,1,True
GUAVIARE,CALAMAR,164,21,143,True
GUAVIARE,EL RETORNO,135,25,110,True
GUAVIARE,MIRAFLORES,149,31,118,True
GUAVIARE,SAN JOSÉ DEL GUAVIARE,349,56,293,True
HUILA,ACEVEDO,18,3,15,True
HUILA,AIPE,27,0,27,True
HUILA,ALGECIRAS,159,37,122,True
HUILA,ALTAMIRA,6,0,6,True
HUILA,BARAYA,155,32,123,True
HUILA,CAMPOALEGRE,17,1,16,True
HUILA,COLOMBIA,242,30,212,True
HUILA,GARZÓN,22,2,20,True
HUILA,GIGANTE,9,1,8,True
HUILA,GUADALUPE,1,0,1,True
HUILA,HOBO,5,0,5,True
HUILA,IQUIRA,10,1,9,True
HUILA,ISNOS,42,13,29,True
HUILA,LA ARGENTINA,5,3,2,True
HUILA,LA PLATA,10,2,8,True
HUILA,NEIVA,48,9,39,True
HUILA,NÁTAGA,1,0,1,True
HUILA,PAICOL,1,0,1,True
HUILA,PALERMO,8,2,6,True
HUILA,PITAL,1,0,1,True
HUILA,PITALITO,4,1,3,True
HUILA,RIVERA,3,1,2,True
HUILA,SALADOBLANCO,5,0,5,True
HUILA,SAN AGUSTÍN,40,7,33,True
HUILA,SANTA MARÍA,9,3,6,True
HUILA,SUAZA,8,1,7,True
HUILA,TARQUI,1,0,1,True
HUILA,TELLO,56,5,51,True
HUILA,TERUEL,5,0,5,True
HUILA,TESALIA,1,0,1,True
HUILA,YAGUARÁ,3,0,3,True
LA GUAJIRA,ALBANIA,5,1,4,True
LA GUAJIRA,BARRANCAS,13,0,13,True
LA GUAJIRA,DIBULLA,14,3,11,True
LA GUAJIRA,DISTRACCIÓN,1,0,1,True
LA GUAJIRA,EL MOLINO,6,2,4,True
LA GUAJIRA,FONSECA,8,1,7,True
LA GUAJIRA,HATO NUEVO,2,0,2,True
LA GUAJIRA,LA JAGUA DEL PILAR,2,1,1,True
LA GUAJIRA,MAICAO,15,0,15,True
LA GUAJIRA,MANAURE,2,0,2,True
LA GUAJIRA,RIOHACHA,11,3,8,True
LA GUAJIRA,SAN JUAN DEL CESAR,14,3,11,True
LA GUAJIRA,URIBIA,4,2,2,True
LA GUAJIRA,URUMITA,16,3,13,True
LA GUAJIRA,VILLANUEVA,16,1,15,True
MAGDALENA,ARACATACA,3,1,2,True
MAGDALENA,CHIVOLO,0,0,0,True
MAGDALENA,CIÉNAGA,18,8,10,True
MAGDALENA,FUNDACIÓN,11,1,10,True
MAGDALENA,NUEVA GRANADA,1,0,1,True
MAGDALENA,PIVIJAY,0,0,0,True
MAGDALENA,PLATO,3,1,2,True
MAGDALENA,SANTA MARTA,9,5,4,True
MAGDALENA,TENERIFE,0,0,0,True
MAGDALENA,ZONA BANANERA,2,1,1,True
META,ACACÍAS,24,6,18,True
META,CASTILLA LA NUEVA,1,0,1,True
META,CUBARRAL,90,7,83,True
META,CUMARAL,6,0,6,True
META,EL CALVARIO,9,3,6,True
META,EL CASTILLO,119,22,97,True
META,EL DORADO,78,10,68,True
